alpha_1,alpha_2,alpha_3,w_s1,w_s2,gamma1,gamma2,margin_sec,lambda,p,epsilon,beta,tardiness_index,makespan_index,initial_fragmentation_index,final_fragmentation_index,fragmentationReductionRate,distance_index,objective_value,make_span,tardiness count,dispatch count,total distance,index
0.25,0.2,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5629963109097319,1.059996029382568,0.060289316018805196,0.003851640436876504,93.61,0.3957464430443399,0.40337790890497793,17797.333333333365,6,1239,93653.0,80
0.25,0.25,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5709795465857442,1.0713122890609474,0.060289316018805196,0.0048520990998738665,91.95,0.400553116027698,0.4091153064079387,17987.333333333354,5,1240,94867.0,81
0.6,0.0,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5659449229870668,1.11078022632519,0.060289316018805196,0.01346349687535833,77.67,0.39149872098305005,0.40999764012005874,18649.99999999999,1,1314,98256.0,82
0.25,0.4,0.35,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5741133630019105,1.0571371848322395,0.060289316018805196,0.003610842363261093,94.01,0.41223454806213605,0.41092591640785475,17749.333333333347,8,1212,95429.0,83
0.4,0.0,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.5953709997099201,1.0886638872344632,0.060289316018805196,0.013178265823873407,78.14,0.38797329084149024,0.42463805303349034,18278.666666666682,3,1380,102262.0,84
0.5,0.4,0.1,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6020872150443217,1.0362517371451252,0.060289316018805196,0.0037799743435385853,93.73,0.4250490420671954,0.42659945164141433,17398.666666666697,5,1177,95554.0,85
0.4,0.35,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.608153967726568,1.0507444907683132,0.060289316018805196,0.003663875272331154,93.92,0.4117647058823529,0.4292975399579628,17642.000000000025,6,1207,94927.0,86
0.2,0.25,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6209746561556284,1.0596783799880858,0.060289316018805196,0.0037154748595344556,93.84,0.4018450463149416,0.43581912697435443,17792.000000000007,7,1248,95787.0,87
0.3,0.2,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6231617531602655,1.0808020647210623,0.060289316018805196,0.004916598583877995,91.84,0.39561070071003374,0.4378151171203659,18146.666666666682,5,1241,93772.0,88
0.35,0.05,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6235588937532376,1.0810403017669226,0.060289316018805196,0.008118639634216258,86.53,0.39190861494526413,0.43863586003741806,18150.66666666668,2,1320,98808.0,89
0.25,0.3,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6306805855742855,1.066349017272184,0.060289316018805196,0.0034058773363146422,94.35,0.4038668782404304,0.4416002239544037,17904.000000000015,6,1234,95189.0,90
0.45,0.0,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6430227933773948,1.0798888227119299,0.060289316018805196,0.010003457889003553,83.41,0.39427907311293076,0.4500859221711578,18131.33333333335,3,1383,104150.0,91
0.2,0.35,0.45,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6573280827550076,1.0586460194560239,0.060289316018805196,0.0033657443240454068,94.42,0.40459734114370605,0.4559322038996397,17774.666666666686,8,1237,95593.0,92
0.25,0.05,0.7,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6592456288842806,1.0769505658129819,0.060289316018805196,0.007396245413370026,87.73,0.38889801923633777,0.45754129972464824,18082.00000000001,4,1338,99386.0,93
0.2,0.4,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6659282313186504,1.0425253126861211,0.060289316018805196,0.0036638752723311538,93.92,0.4090739103828109,0.4603933464795442,17504.00000000002,10,1232,96260.0,94
0.2,0.3,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.686644603072405,1.0544371649791529,0.060289316018805196,0.003930473139548215,93.48,0.399495516883227,0.47150508356896764,17704.000000000022,9,1235,94235.0,95
0.15,0.3,0.55,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.6914791234592718,1.0578518959698218,0.060289316018805196,0.0041612379600963175,93.1,0.4039275379288427,0.4748472378820037,17761.333333333354,7,1252,96592.0,96
0.2,0.1,0.7,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.695921107442706,1.0759976176295405,0.060289316018805196,0.006372853600504527,89.43,0.3898802376034712,0.4774563698154638,18066.000000000033,6,1308,97403.0,97
0.1,0.3,0.6,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.7087653207169515,1.0529680365296792,0.060289316018805196,0.004935231768145853,91.81,0.39779294092084755,0.4837291918433358,17679.33333333336,9,1253,95201.0,98
0.2,0.15,0.65,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.7082182248703238,1.0780226325193547,0.060289316018805196,0.003994972623552344,93.37,0.39604665259115523,0.48422431235082714,18100.00000000001,5,1287,97355.0,99
0.3,0.3,0.4,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.7105868148453116,1.0550724637681141,0.060289316018805196,0.0034775434296525614,94.23,0.40689807574624326,0.4853094419568472,17714.666666666682,7,1232,95748.0,100
0.15,0.2,0.65,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.7102227813502222,1.077466746079014,0.060289316018805196,0.0037728077342047916,93.74,0.3995359819320398,0.48558130756003837,18090.66666666669,5,1275,97297.0,101
0.35,0.4,0.25,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.719825174183314,1.046257693071271,0.060289316018805196,0.00405230549822268,93.28,0.41610404996907424,0.4910428271007605,17566.666666666686,8,1202,95530.0,102
0.5,0.0,0.5,0.3,0.7,0.2,0.3,1200.0,0.006,2.0,0.2,0.1,0.7323678937132465,1.0891800675004943,0.060289316018805196,0.00999629127966976,83.42,0.39219384958512105,0.4994796172597234,18287.333333333347,3,1385,103749.0,103
